task,condition,state_type,seed,budget,challenger,full_decision,recall,support,gini,repair_gain,repair_cost,residual_warning,unresolved_warning,oracle_safe,geometry_ok
requests,repair:random,seeded_unsafe_repair,135,4,random,CONTINUE,0.1543624161073825,0.375,0.873550724637681,15.0,3317.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,136,4,random,CONTINUE,0.2449664429530201,0.3333333333333333,0.8793478260869565,42.0,3397.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,137,4,random,CONTINUE,0.2382550335570469,0.3333333333333333,0.8778985507246375,40.0,2206.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,138,4,random,CONTINUE,0.348993288590604,0.4166666666666667,0.8692028985507245,73.0,3321.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,139,4,random,CONTINUE,0.4429530201342282,0.375,0.875,101.0,3444.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,140,4,random,CONTINUE,0.3322147651006711,0.375,0.875,68.0,2537.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,141,4,random,CONTINUE,0.5268456375838926,0.4166666666666667,0.8692028985507245,126.0,3397.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,142,4,random,CONTINUE,0.2382550335570469,0.375,0.873550724637681,40.0,4089.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,143,4,random,CONTINUE,0.3187919463087248,0.3333333333333333,0.8800724637681159,64.0,1706.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,144,4,random,CONTINUE,0.3993288590604026,0.375,0.8757246376811594,88.0,3517.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,145,4,random,CONTINUE,0.5704697986577181,0.375,0.873550724637681,139.0,3605.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,146,4,random,CONTINUE,0.2718120805369127,0.4166666666666667,0.8692028985507245,50.0,1998.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,147,4,random,CONTINUE,0.1442953020134228,0.4166666666666667,0.8692028985507245,12.0,3113.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,148,4,random,CONTINUE,0.2114093959731543,0.375,0.8757246376811594,32.0,3907.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,149,4,random,CONTINUE,0.2483221476510067,0.4166666666666667,0.8692028985507245,43.0,2745.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,150,4,random,CONTINUE,0.1140939597315436,0.4166666666666667,0.8692028985507245,3.0,1667.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,151,4,random,CONTINUE,0.2348993288590604,0.375,0.873550724637681,39.0,4297.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,152,4,random,CONTINUE,0.1208053691275167,0.4166666666666667,0.8692028985507245,5.0,2439.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,153,4,random,CONTINUE,0.2986577181208054,0.375,0.8757246376811594,58.0,2745.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,154,4,random,CONTINUE,0.3154362416107382,0.4166666666666667,0.8692028985507245,63.0,3274.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,155,4,random,CONTINUE,0.2449664429530201,0.3333333333333333,0.8786231884057971,42.0,2807.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,156,4,random,CONTINUE,0.197986577181208,0.375,0.873550724637681,28.0,3321.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,157,4,random,CONTINUE,0.1946308724832214,0.375,0.8742753623188404,27.0,2184.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,158,4,random,CONTINUE,0.1174496644295302,0.3333333333333333,0.8793478260869565,4.0,2635.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,159,4,random,CONTINUE,0.2483221476510067,0.3333333333333333,0.8778985507246375,43.0,3321.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,160,4,random,CONTINUE,0.2382550335570469,0.4166666666666667,0.8692028985507245,40.0,2880.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,161,4,random,CONTINUE,0.2147651006711409,0.3333333333333333,0.8793478260869565,33.0,1976.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,162,4,random,CONTINUE,0.2080536912751678,0.375,0.8757246376811594,31.0,3025.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,163,4,random,CONTINUE,0.2986577181208054,0.375,0.875,58.0,3532.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,164,4,random,CONTINUE,0.1442953020134228,0.375,0.873550724637681,12.0,2410.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,165,4,random,CONTINUE,0.4194630872483221,0.3333333333333333,0.8793478260869565,94.0,3517.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,166,4,random,CONTINUE,0.1308724832214765,0.3333333333333333,0.8778985507246375,8.0,3113.0,True,False,False,False
requests,repair:random,seeded_unsafe_repair,167,4,random,CONTINUE,0.2382550335570469,0.375,0.873550724637681,40.0,2206.0,True,False,False,False
