task,condition,state_type,seed,budget,decision,recall,support,gini,residual_warning,unresolved_warning,runtime_residual_items,weak_plausible_gap,repair_gain,cost
requests,repair:random,seeded_unsafe_repair,111,4,CONTINUE,0.1812080536912751,0.4166666666666667,0.8692028985507245,True,False,23.0,12.0,23.0,2549.0
requests,repair:random,seeded_unsafe_repair,112,4,CONTINUE,0.2248322147651006,0.375,0.873550724637681,True,False,36.0,12.0,36.0,3787.0
requests,repair:random,seeded_unsafe_repair,113,4,CONTINUE,0.348993288590604,0.4166666666666667,0.8692028985507245,True,False,73.0,12.0,73.0,3182.0
requests,repair:random,seeded_unsafe_repair,114,4,CONTINUE,0.1543624161073825,0.4166666666666667,0.8692028985507245,True,False,15.0,12.0,15.0,1998.0
requests,repair:random,seeded_unsafe_repair,115,4,CONTINUE,0.1174496644295302,0.3333333333333333,0.8786231884057971,True,False,4.0,14.0,4.0,1998.0
requests,repair:random,seeded_unsafe_repair,116,4,CONTINUE,0.1543624161073825,0.3333333333333333,0.8786231884057971,True,False,15.0,13.0,15.0,3062.0
requests,repair:random,seeded_unsafe_repair,117,4,CONTINUE,0.1073825503355704,0.375,0.8742753623188404,True,False,1.0,14.0,1.0,1510.0
requests,repair:random,seeded_unsafe_repair,118,4,CONTINUE,0.2080536912751678,0.3333333333333333,0.8778985507246375,True,False,31.0,13.0,31.0,2643.0
requests,repair:random,seeded_unsafe_repair,119,4,CONTINUE,0.1308724832214765,0.2916666666666667,0.8822463768115942,True,False,8.0,14.0,8.0,2388.0
requests,repair:random,seeded_unsafe_repair,120,4,CONTINUE,0.2181208053691275,0.4166666666666667,0.8692028985507245,True,False,34.0,13.0,34.0,2231.0
requests,repair:random,seeded_unsafe_repair,121,4,CONTINUE,0.2651006711409396,0.4166666666666667,0.8692028985507245,True,False,48.0,12.0,48.0,2723.0
requests,repair:random,seeded_unsafe_repair,122,4,CONTINUE,0.2382550335570469,0.375,0.873550724637681,True,False,40.0,13.0,40.0,2133.0
requests,repair:random,seeded_unsafe_repair,123,4,CONTINUE,0.2315436241610738,0.3333333333333333,0.8793478260869565,True,False,38.0,14.0,38.0,2745.0
requests,repair:random,seeded_unsafe_repair,124,4,CONTINUE,0.3187919463087248,0.3333333333333333,0.8793478260869565,True,False,64.0,14.0,64.0,1998.0
requests,repair:random,seeded_unsafe_repair,125,4,CONTINUE,0.1577181208053691,0.375,0.873550724637681,True,False,16.0,13.0,16.0,2133.0
requests,repair:random,seeded_unsafe_repair,126,4,CONTINUE,0.2986577181208054,0.375,0.8757246376811594,True,False,58.0,12.0,58.0,3397.0
requests,repair:random,seeded_unsafe_repair,127,4,CONTINUE,0.1711409395973154,0.375,0.8757246376811594,True,False,20.0,12.0,20.0,3054.0
requests,repair:random,seeded_unsafe_repair,128,4,CONTINUE,0.2348993288590604,0.4166666666666667,0.8692028985507245,True,False,39.0,12.0,39.0,2341.0
requests,repair:random,seeded_unsafe_repair,129,4,CONTINUE,0.2449664429530201,0.375,0.8757246376811594,True,False,42.0,13.0,42.0,2672.0
requests,repair:random,seeded_unsafe_repair,130,4,CONTINUE,0.2416107382550335,0.375,0.873550724637681,True,False,41.0,13.0,41.0,3270.0
requests,repair:random,seeded_unsafe_repair,131,4,CONTINUE,0.3657718120805369,0.4166666666666667,0.8692028985507245,True,False,78.0,11.0,78.0,2155.0
requests,repair:random,seeded_unsafe_repair,132,4,CONTINUE,0.1140939597315436,0.2916666666666667,0.8829710144927536,True,False,3.0,14.0,3.0,2049.0
requests,repair:random,seeded_unsafe_repair,133,4,CONTINUE,0.2181208053691275,0.4166666666666667,0.8692028985507245,True,False,34.0,11.0,34.0,2498.0
requests,repair:random,seeded_unsafe_repair,134,4,CONTINUE,0.3087248322147651,0.4166666666666667,0.8692028985507245,True,False,61.0,12.0,61.0,3113.0
requests,repair:random,seeded_unsafe_repair,135,4,CONTINUE,0.1543624161073825,0.375,0.873550724637681,True,False,15.0,12.0,15.0,3317.0
requests,repair:random,seeded_unsafe_repair,136,4,CONTINUE,0.2449664429530201,0.3333333333333333,0.8793478260869565,True,False,42.0,13.0,42.0,3397.0
requests,repair:random,seeded_unsafe_repair,137,4,CONTINUE,0.2382550335570469,0.3333333333333333,0.8778985507246375,True,False,40.0,13.0,40.0,2206.0
requests,repair:random,seeded_unsafe_repair,138,4,CONTINUE,0.348993288590604,0.4166666666666667,0.8692028985507245,True,False,73.0,12.0,73.0,3321.0
requests,repair:random,seeded_unsafe_repair,139,4,CONTINUE,0.4429530201342282,0.375,0.875,True,False,101.0,12.0,101.0,3444.0
requests,repair:random,seeded_unsafe_repair,140,4,CONTINUE,0.3322147651006711,0.375,0.875,True,False,68.0,13.0,68.0,2537.0
requests,repair:random,seeded_unsafe_repair,141,4,CONTINUE,0.5268456375838926,0.4166666666666667,0.8692028985507245,True,False,126.0,11.0,126.0,3397.0
requests,repair:random,seeded_unsafe_repair,142,4,CONTINUE,0.2382550335570469,0.375,0.873550724637681,True,False,40.0,12.0,40.0,4089.0
requests,repair:random,seeded_unsafe_repair,143,4,CONTINUE,0.3187919463087248,0.3333333333333333,0.8800724637681159,True,False,64.0,14.0,64.0,1706.0
requests,repair:random,seeded_unsafe_repair,144,4,CONTINUE,0.3993288590604026,0.375,0.8757246376811594,True,False,88.0,12.0,88.0,3517.0
requests,repair:random,seeded_unsafe_repair,145,4,CONTINUE,0.5704697986577181,0.375,0.873550724637681,True,False,139.0,12.0,139.0,3605.0
requests,repair:random,seeded_unsafe_repair,146,4,CONTINUE,0.2718120805369127,0.4166666666666667,0.8692028985507245,True,False,50.0,11.0,50.0,1998.0
requests,repair:random,seeded_unsafe_repair,147,4,CONTINUE,0.1442953020134228,0.4166666666666667,0.8692028985507245,True,False,12.0,11.0,12.0,3113.0
requests,repair:random,seeded_unsafe_repair,148,4,CONTINUE,0.2114093959731543,0.375,0.8757246376811594,True,False,32.0,12.0,32.0,3907.0
requests,repair:random,seeded_unsafe_repair,149,4,CONTINUE,0.2483221476510067,0.4166666666666667,0.8692028985507245,True,False,43.0,12.0,43.0,2745.0
requests,repair:random,seeded_unsafe_repair,150,4,CONTINUE,0.1140939597315436,0.4166666666666667,0.8692028985507245,True,False,3.0,13.0,3.0,1667.0
requests,repair:random,seeded_unsafe_repair,151,4,CONTINUE,0.2348993288590604,0.375,0.873550724637681,True,False,39.0,12.0,39.0,4297.0
requests,repair:random,seeded_unsafe_repair,152,4,CONTINUE,0.1208053691275167,0.4166666666666667,0.8692028985507245,True,False,5.0,12.0,5.0,2439.0
requests,repair:random,seeded_unsafe_repair,153,4,CONTINUE,0.2986577181208054,0.375,0.8757246376811594,True,False,58.0,13.0,58.0,2745.0
requests,repair:random,seeded_unsafe_repair,154,4,CONTINUE,0.3154362416107382,0.4166666666666667,0.8692028985507245,True,False,63.0,12.0,63.0,3274.0
requests,repair:random,seeded_unsafe_repair,155,4,CONTINUE,0.2449664429530201,0.3333333333333333,0.8786231884057971,True,False,42.0,13.0,42.0,2807.0
requests,repair:random,seeded_unsafe_repair,156,4,CONTINUE,0.197986577181208,0.375,0.873550724637681,True,False,28.0,13.0,28.0,3321.0
requests,repair:random,seeded_unsafe_repair,157,4,CONTINUE,0.1946308724832214,0.375,0.8742753623188404,True,False,27.0,13.0,27.0,2184.0
requests,repair:random,seeded_unsafe_repair,158,4,CONTINUE,0.1174496644295302,0.3333333333333333,0.8793478260869565,True,False,4.0,14.0,4.0,2635.0
requests,repair:random,seeded_unsafe_repair,159,4,CONTINUE,0.2483221476510067,0.3333333333333333,0.8778985507246375,True,False,43.0,13.0,43.0,3321.0
requests,repair:random,seeded_unsafe_repair,160,4,CONTINUE,0.2382550335570469,0.4166666666666667,0.8692028985507245,True,False,40.0,11.0,40.0,2880.0
requests,repair:random,seeded_unsafe_repair,161,4,CONTINUE,0.2147651006711409,0.3333333333333333,0.8793478260869565,True,False,33.0,14.0,33.0,1976.0
requests,repair:random,seeded_unsafe_repair,162,4,CONTINUE,0.2080536912751678,0.375,0.8757246376811594,True,False,31.0,13.0,31.0,3025.0
requests,repair:random,seeded_unsafe_repair,163,4,CONTINUE,0.2986577181208054,0.375,0.875,True,False,58.0,12.0,58.0,3532.0
requests,repair:random,seeded_unsafe_repair,164,4,CONTINUE,0.1442953020134228,0.375,0.873550724637681,True,False,12.0,13.0,12.0,2410.0
requests,repair:random,seeded_unsafe_repair,165,4,CONTINUE,0.4194630872483221,0.3333333333333333,0.8793478260869565,True,False,94.0,13.0,94.0,3517.0
requests,repair:random,seeded_unsafe_repair,166,4,CONTINUE,0.1308724832214765,0.3333333333333333,0.8778985507246375,True,False,8.0,13.0,8.0,3113.0
requests,repair:random,seeded_unsafe_repair,167,4,CONTINUE,0.2382550335570469,0.375,0.873550724637681,True,False,40.0,13.0,40.0,2206.0
requests,repair:random,seeded_unsafe_repair,168,4,CONTINUE,0.2718120805369127,0.4166666666666667,0.8692028985507245,True,False,50.0,11.0,50.0,2927.0
requests,repair:random,seeded_unsafe_repair,169,4,CONTINUE,0.2382550335570469,0.375,0.8742753623188404,True,False,40.0,13.0,40.0,2133.0
