seed,condition,dependency,n_strata,items_per_stratum,hard_fraction,stopped_round,no_new_rounds,recall,false_completion,exposure_gini,exposure_entropy,exposure_hhi,exposure_max_mass,discovery_gini,discovery_entropy,discovery_hhi,discovery_max_mass,exposure_coverage_ratio,discovery_coverage_ratio,discovery_per_exposure,effective_rank_exposure,effective_rank_discovery,scout_strategy,scout_new_items,scout_cost,scout_novelty_per_cost
32001,prompt_diverse,0.0,42,5,0.4,14,0,0.6285714285714286,True,0.5484693877551021,3.2105003607657605,0.04905399659863945,0.08928571428571429,0.46270797475616754,3.3378069605212586,0.03953162045773455,0.05622489959839357,0.8333333333333334,0.8333333333333334,0.7410714285714286,0.8985126593084569,0.8214555190994033,none,0,0,
32002,prompt_diverse,0.0,42,5,0.4,14,0,0.6333333333333333,True,0.5117630385487528,3.261574327111092,0.044589710884353734,0.08333333333333333,0.44456845238095255,3.3500237662433183,0.038604736328125,0.05859375,0.8571428571428571,0.8571428571428571,0.7619047619047619,0.9098296976627154,0.8084453275667487,none,0,0,
32003,prompt_diverse,0.0,42,5,0.4,14,0,0.6428571428571429,True,0.522108843537415,3.2604533651833796,0.04528061224489796,0.07738095238095238,0.4520202020202022,3.355132114271116,0.038997933884297516,0.05303030303030303,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8781870561657829,0.799968436031148,none,0,0,
32004,prompt_diverse,0.0,42,5,0.4,14,0,0.6761904761904762,True,0.4717970521541952,3.3325230513650186,0.040444302721088426,0.06547619047619048,0.4051120448179273,3.4029893218032585,0.0359537197231834,0.05514705882352941,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.9093904972221701,0.8201376220504747,none,0,0,
32005,prompt_diverse,0.0,42,5,0.4,14,2,0.638095238095238,True,0.5055272108843538,3.2641787091370205,0.04338506235827664,0.07738095238095238,0.44622487778381315,3.334517293705222,0.038760138212204885,0.057034220532319393,0.8333333333333334,0.8333333333333334,0.7827380952380952,0.9002317349425107,0.8376673333082044,none,0,0,
32006,prompt_diverse,0.0,42,5,0.4,14,0,0.6714285714285714,True,0.4710884353741498,3.3343927550305583,0.040373441043083894,0.06845238095238096,0.42307692307692313,3.393310643053994,0.03688497095090502,0.054945054945054944,0.8571428571428571,0.8571428571428571,0.8125,0.8880340958010643,0.8352568414465451,none,0,0,
32007,prompt_diverse,0.0,42,5,0.4,14,0,0.6476190476190476,True,0.5059523809523809,3.2767369572652756,0.044146825396825386,0.08630952380952381,0.4364454443194601,3.3693422183474024,0.03791307582615165,0.05511811023622047,0.8571428571428571,0.8571428571428571,0.7559523809523809,0.9223909409247099,0.8173112187986343,none,0,0,
32008,prompt_diverse,0.0,42,5,0.4,14,0,0.6428571428571429,True,0.5073696145124718,3.286029291173969,0.04402281746031746,0.07738095238095238,0.429904761904762,3.3881532444998532,0.037568000000000004,0.056,0.9047619047619048,0.9047619047619048,0.7440476190476191,0.9186877498823846,0.8523685539516282,none,0,0,
32009,prompt_diverse,0.0,42,5,0.4,14,0,0.6571428571428571,True,0.4988662131519275,3.297926505942623,0.043668509070294785,0.08630952380952381,0.42875318066157764,3.3910021678566813,0.03743954315016607,0.05725190839694656,0.9047619047619048,0.9047619047619048,0.7797619047619048,0.9055825394360745,0.8534812996747595,none,0,0,
32010,prompt_diverse,0.25,42,5,0.4,14,0,0.6761904761904762,True,0.47066326530612246,3.3408207002396066,0.04136550453514738,0.08928571428571429,0.41472475515028706,3.4095298320982654,0.0365675770836477,0.05319148936170213,0.9047619047619048,0.9047619047619048,0.8392857142857143,0.8472420097631551,0.7871147390904246,none,0,0,
32011,prompt_diverse,0.25,42,5,0.4,14,0,0.7047619047619048,True,0.43594104308390036,3.402689780309598,0.03821215986394558,0.06547619047619048,0.39366786140979704,3.454993944918472,0.03531557919348415,0.05017921146953405,0.9761904761904762,0.9761904761904762,0.8303571428571429,0.9010055673070124,0.8308686077270521,none,0,0,
32012,prompt_diverse,0.25,42,5,0.4,14,0,0.6619047619047619,True,0.48398526077097515,3.3266006956953524,0.0419501133786848,0.07142857142857142,0.42771497088043864,3.3967218748032595,0.0375756948398116,0.0539568345323741,0.9285714285714286,0.9285714285714286,0.8273809523809523,0.8473478506307145,0.7883585523656108,none,0,0,
32013,prompt_diverse,0.25,42,5,0.4,14,0,0.6428571428571429,True,0.5011337868480727,3.2690383711082496,0.04370393990929705,0.08333333333333333,0.444973544973545,3.3382763633051318,0.0386556927297668,0.05555555555555555,0.8333333333333334,0.8333333333333334,0.8035714285714286,0.8559967074490618,0.8083680014740285,none,0,0,
32014,prompt_diverse,0.25,42,5,0.4,14,0,0.6714285714285714,True,0.4794501133786848,3.3355036229468467,0.04140093537414965,0.0744047619047619,0.4164420485175202,3.415360254774675,0.0364684941260235,0.05660377358490566,0.9047619047619048,0.9047619047619048,0.7886904761904762,0.8907965274576171,0.7995834479160675,none,0,0,
32015,prompt_diverse,0.25,42,5,0.4,14,0,0.6619047619047619,True,0.4732142857142858,3.331074985082785,0.040532879818594096,0.06547619047619048,0.42823370482944956,3.383765047914459,0.0374478144962527,0.05319148936170213,0.9047619047619048,0.9047619047619048,0.8392857142857143,0.8624111342171804,0.8008522282219754,none,0,0,
32016,prompt_diverse,0.25,42,5,0.4,14,0,0.6857142857142857,True,0.4961734693877551,3.308507499079129,0.04301303854875284,0.0744047619047619,0.42900432900432905,3.392932821801821,0.03738181818181818,0.05454545454545454,0.9047619047619048,0.9047619047619048,0.8184523809523809,0.844411037253161,0.8090138083875642,none,0,0,
32017,prompt_diverse,0.25,42,5,0.4,14,0,0.680952380952381,True,0.48327664399092973,3.298589302471428,0.04372165532879818,0.09821428571428571,0.41299019607843146,3.387447286533274,0.03649437716262976,0.05514705882352941,0.8333333333333334,0.8333333333333334,0.8095238095238095,0.8964418722590882,0.8186723808912594,none,0,0,
32018,prompt_diverse,0.25,42,5,0.4,14,0,0.6619047619047619,True,0.4872448979591837,3.3161946866593084,0.04198554421768707,0.07142857142857142,0.4403508771929825,3.3756775805977166,0.03817790089258233,0.05263157894736842,0.9047619047619048,0.9047619047619048,0.8482142857142857,0.817156160050109,0.748422103824926,none,0,0,
32019,prompt_diverse,0.25,42,5,0.4,14,0,0.6428571428571429,True,0.48341836734693877,3.3048114004796427,0.04156037414965986,0.0744047619047619,0.43760862009037194,3.3617528958333542,0.03801481165752038,0.05474452554744526,0.8571428571428571,0.8571428571428571,0.8154761904761905,0.8806887255631307,0.7836209243155396,none,0,0,
32020,prompt_diverse,0.25,42,5,0.4,14,0,0.6714285714285714,True,0.4734977324263039,3.318620170798894,0.04196782879818595,0.09523809523809523,0.4162907268170426,3.3865486763938124,0.036700523237919364,0.05263157894736842,0.8333333333333334,0.8333333333333334,0.8482142857142857,0.8251602007493061,0.7703259945240081,none,0,0,
32021,prompt_diverse,0.25,42,5,0.4,14,0,0.7047619047619048,True,0.44897959183673475,3.3842276210733133,0.038867630385487524,0.0625,0.4055829228243022,3.4342993942607842,0.035909631391200944,0.05172413793103448,0.9523809523809523,0.9523809523809523,0.8630952380952381,0.8396603652020608,0.7846894712608425,none,0,0,
32022,prompt_diverse,0.25,42,5,0.4,14,0,0.6619047619047619,True,0.4899376417233561,3.292799955334475,0.04200325963718821,0.0744047619047619,0.43471861471861484,3.355447767379936,0.03783140495867768,0.05454545454545454,0.8333333333333334,0.8333333333333334,0.8184523809523809,0.855356220855211,0.7947054486086681,none,0,0,
32023,prompt_diverse,0.25,42,5,0.4,14,1,0.6428571428571429,True,0.5031179138321997,3.2629517221489266,0.042782738095238096,0.06845238095238096,0.4501380262249828,3.3221555602383575,0.03885738290275152,0.05434782608695652,0.7619047619047619,0.7619047619047619,0.8214285714285714,0.8468103341667353,0.7817639989867072,none,0,0,
32024,prompt_diverse,0.25,42,5,0.4,14,0,0.638095238095238,True,0.48356009070294803,3.2882001137149026,0.04145408163265306,0.06547619047619048,0.446236559139785,3.3318991227725245,0.03878418828123996,0.053763440860215055,0.8333333333333334,0.8333333333333334,0.8303571428571429,0.8630520528461797,0.8080578764033297,none,0,0,
32025,prompt_diverse,0.25,42,5,0.4,14,1,0.6857142857142857,True,0.44827097505668934,3.368007292189992,0.038655045351473925,0.05952380952380952,0.4090136054421769,3.4126033166601855,0.036173469387755106,0.05,0.9047619047619048,0.9047619047619048,0.8333333333333334,0.8843156053420187,0.802719195174456,none,0,0,
