task,budget,challenger,seed,decision,false_certification,safe,continue,abstain,cost,runtime_residual_items,repair_gain,cumulative_recall,after_support_ratio,after_exposure_gini,after_weak_plausible_gap
requests,1,random,176,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.25,0.8876488095238095,15
requests,1,random,177,CONTINUE,False,False,True,False,831,33,33,0.2147651006711409,0.2916666666666667,0.8846726190476191,14
requests,1,random,178,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,179,CONTINUE,False,False,True,False,1086,8,8,0.1308724832214765,0.2916666666666667,0.8846726190476191,14
requests,1,random,180,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.25,0.8876488095238095,15
requests,1,random,181,CONTINUE,False,False,True,False,831,33,33,0.2147651006711409,0.2916666666666667,0.8846726190476191,14
requests,1,random,182,CONTINUE,False,False,True,False,831,9,9,0.1342281879194631,0.2916666666666667,0.8846726190476191,14
requests,1,random,183,CONTINUE,False,False,True,False,1086,8,8,0.1308724832214765,0.2916666666666667,0.8846726190476191,14
requests,1,random,184,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,185,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,186,CONTINUE,False,False,True,False,696,64,64,0.3187919463087248,0.2916666666666667,0.8846726190476191,14
requests,1,random,187,ABSTAIN,False,False,False,True,1039,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,188,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,random,189,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,190,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,191,CONTINUE,False,False,True,False,696,38,38,0.2315436241610738,0.2916666666666667,0.8846726190476191,14
requests,1,random,192,CONTINUE,False,False,True,False,831,7,7,0.1275167785234899,0.2916666666666667,0.8846726190476191,14
requests,1,random,193,CONTINUE,False,False,True,False,1039,20,20,0.1711409395973154,0.2916666666666667,0.8846726190476191,14
requests,1,random,194,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,195,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,196,ABSTAIN,False,False,False,True,157,0,0,0.1040268456375839,0.2916666666666667,0.8846726190476191,15
requests,1,random,197,CONTINUE,False,False,True,False,1086,30,30,0.2046979865771812,0.2916666666666667,0.8846726190476191,14
requests,1,random,198,ABSTAIN,False,False,False,True,314,0,0,0.1040268456375839,0.25,0.8869047619047619,15
requests,1,random,199,CONTINUE,False,False,True,False,314,2,2,0.110738255033557,0.2916666666666667,0.8846726190476191,14
requests,1,low_exposure,0,CONTINUE,False,False,True,False,696,4,4,0.1174496644295302,0.2916666666666667,0.8846726190476191,14
